0,"I feel a bit drowsy & have a little blurred vision, so far no gastric problems."
1,"I've been on Arthrotec 50 for over 10 years on and off, only taking it when I needed it."
2,"Due to my arthritis getting progressively worse, to the point where I am in tears with the agony, gp's started me on 75 twice a day and I have to take it."
3,"every day for the next month to see how I get on, here goes."
4,"So far its been very good, pains almost gone, but I feel a bit weird, didn't have that when on 50."
5,Hunger pangs.
6,"Brilliant, I have a new lease of life, i walk up & down steps properly, no longer sideways like a toddler, hip pain as gone other than if i jar it."
7,no side effects for the first two months .
8,then vaginal bleeding 2 wks after menstral cycle.
9,stomach pain.
10,canker sores in my mouth.
11,headache.
12,been off for 1 week still have bleeding.
13,helped my pain alot .
14,too scared to take this drug again.
15,"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately."
16,"Honestly can not recommend this drug, I am still experiencing side effects just after 1 pill and im supposed to take twice/day 75mg."
17,I just cant keep going have to try something else.
18,"I have had no side effects been taking Arthrotec a little over a year, have not noticed any side effects."
19,It does help alot I noticed that when there are times when I forget to take it I can't stand or walk for any lengths of time.
20,It seems as if bleeding forever is a side effect but doctors tell you that its not the drug
21,I have been on Arthotec for Three months I still have pain and stiffness
22,at first week into this drug I was in so much pain I sat on the floor at work and thought I was gaving a baby.
23,I always feel weak and almost fainted a bunch of times.
24,Consider somthing that works I am switching today as this isnt in my head.
25,"some diarrhea, some constipation, fatigue."
26,it works very well for the heel; I couldn't walk on it very well before taking it.
27,I take 75mg.twice a day.
28,"Also have severe osteoarthritis in the knees and hands, but it doesn't seem to relieve that pain at all."
29,"I've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight."
30,Insomina is much worse.
31,I have forgetfulnes and confussion - really bad - almost dangerous.
32,"Have felt ""empty stomach"" feeling, but not bothersome."
33,"Have had more loose stools, but tolerable."
34,"I'm looking for a more natural therapy, checking into HA (Hyaluronic Acid) to replace Arthrotec."
35,none that I can think of.
36,I recently had bilateral knee replacement.
37,"Prior to that, Arthrotec was the only drug that helped."
38,"I tried every drug on the market,but, to no avail."
39,I took 50 mg. 3 times a day of Arthrotec and was almost pain free.
40,I highly recommend it to anyone that suffers from arthritis.
41,Hospitalization due extreme rectal bleed that required blood transfusion.
42,I was extremely sick and initially felt I might not survive.
43,Should be removed from market.
44,"Abdominal pain, Dizzieness and blood clots in urine which caused problems with urine leaking."
45,I stopped the Arthrotec twice and restarted but the same symptoms came back.
46,I will not take this medication again.
47,Upset stomach and the feeling that I may need to throw up.
48,The pain in my stomach is in the middle of my stomach above my belly button and its a deep constant pain.
49,"I also feel like I may need to go to the restroom, but when I do I can't."
50,MISERABLE!!.
51,I have no side effects that I am aware of.
52,I have tried various pain meds for the shoulder and nothing worked.
53,I was skeptical when my doctor asked me to try Arthrotec but my pain is totally under control without any apparent side effects.
54,I had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.
55,Alot of gas and nausea.
56,"This pill stopped my pain, but cause me more pain."
57,The side effects are much worst than the pain itself.
58,This greatly improved the swelling when I had a surgery on both legs.
59,There weren't any side effects.
60,maybe a little gas but may not be related to the drug.
61,I would recommend this to anyone that has swelling of any sort to help heal an injury.
62,The doctor did say to only take it 5 days though because it reduces mucus in the stomach and it can cause extreme stomach pain if taken too long.
63,"I can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping."
64,The experience was a certain kind of hell!.
65,This drug is a bad trip!.
66,"Within 15 minutes started to have stomach cramping, almost like period cramps."
67,I was on the toilet for a good 30 minutes in extreme pain.
68,"My uterus starting to have spasms which was the worst pain I have ever experienced, I got some nausea from the pain, I had to go to bed in a ball and just lie there until the pain subsided which felt like an eternity."
69,Then when the pain subsided I begin to have some bleeding and I was on day 12 of my cycle.
70,I would rather die than take this drug again.
71,"Although It works wonders for my back pain, it is not worth it to go through the uterus pain and cramping."
72,I am going to try and find a sister drug to arthrotec.
73,"Its weird because I have been taking this drug off and on for about 4 months and this only has happened to me 3 times, but I have no way of knowing when it will randomly happen and it is not worth it to take that risk."
74,I have began to think it has something to do with the day of my cycle affecting how bad the pains will be.
75,"15 minutes after taking , i experienced severe stomach cramping."
76,but after trying celebrex (without any relief).
77,i decided i could tolerate stomach pain since i go relief.
78,"BUT now after having been off of meds for 3 weeks, I am experiencing high blood pressure and ankle swelling like crazy!!!!!"
79,HAS ANYONE EXPERIENCED THIS AFTER BEING OFF OF THE DRUG FOR 3 WEEKS OR SO???????.
80,never take again!!!!.
81,"Stomach cramps, gassy most of the day."
82,Cannot take it on an empty stomach!.
83,I can finally clean my house without pain.
84,"I am feeling so much better, I can sleep all night and rise in the morning without pain."
85,Swelling & weight increase.
86,No relief in pain.
87,My doctor advise that I stop using.
88,"uncontrollable Diarrhea,kidney function."
89,"This product is the best medicine for arthritis pain I have ever taken, however after taking it for approx. 10 years it started affecting my kidneys, my stomach(acid reflux) and the diarrhea got worse, short term, I had no problems,this would be a great product if the manufacturer could get rid of the side effects."
90,"appetite increase, stomach feels empty all the time."
91,"pain feels better, but the appetite increase worries me."
92,"Headache, dizziness."
93,"I took 1 tablet today, and won't take another one."
94,I looked up the side-effects because of a headache and am scared to death by what I read.
95,Some stomach sensitivity.
96,I am taking it only 1 time per day because of the possible side effects.
97,Without this drug I was severly restricted and could only walk less than 100 meters.
98,With the drug I can walk 1/2 km and function.
99,I am thinking of increasing it to twice per day and/or getting surgery and/or epidural steroid injection.
100,"After taking my first pill, I quickly experienced extreme uterine cramping."
101,"It felt like I was having a baby and broke out in a cold sweat, shaking uncontrollably, nauseated, several bowel movements."
102,"I felt like I was going to pass out, which would have been welcommed after feeling what I felt."
103,"The pain subsided fortunately within 15 minutes, but now this morning I have vaginal bleeding and I am only 11 days into my cycle."
104,Do not recommend unless you are prepared to deal with gut wrenching pain and going into shock.
105,"Not worth it, I will continue to take Ibuprofen instead."
106,dizzines dioreah stomach cramps disorientation.
107,"followed by ulceration of the osophragus,and stomach, and possibly the gut."
108,Prone to infections especially of the blader.
109,"have been taken off the drug, stayed on it too long because it allowed me to work."
110,"Talked myself out of the side effects, until they frightened me."
111,"Now I dont know how I am going to get back to work, it has left me feeling exausted, and depressed."
112,i was prescribed arthrotec 75 to take twice a day with or before food.
