0,arthrotec searle is a new concept in nsaid therapy that provides powerful anti inflammatory efficacy with enhanced upper gi safety
1,arthrotec comprises an enteric coated core of diclofenac sodium mg surrounded by a mantle of misoprostol mcg
2,two multicentre trials evaluated the efficacy of arthrotec in rheumatoid arthritis ra and osteoarthritis oa patients who were randomised to receive either arthrotec or diclofenac
3,the results of all arthritis assessments showed arthrotec to be as effective as diclofenac in treating the signs and symptoms of ra and oa
4,two endoscopic studies compared the antiarthritic efficacy and gastroduodenal safety of arthrotec and diclofenac
5,in a week study of ra patients the antiarthritic efficacy of arthrotec was equivalent to diclofenac in addition fewer patients taking arthrotec experienced ulcers than did those taking diclofenac arthrotec vs diclofenac p
6,in a week study of oa patients arthrotec s efficacy was equivalent to that of diclofenac and the arthrotec group developed no ulcers while of the diclofenac group had ulcers p
7,in a trial conducted to compare the efficacy and upper gastroduodenal safety of arthrotec with those of piroxicam and naproxen patients with oa received either arthrotec bid piroxicam mg bid or naproxen bid for weeks
8,arthritis assessments showed arthrotec to be at least as effective as piroxicam and naproxen in treating oa
9,post treatment endoscopy data indicated that gastroduodenal ulcers developed in of patients receiving arthrotec of patients receiving piroxicam and patients in the naproxen group
10,abstract truncated at words
11,a week multicenter double masked placebo controlled parallel group study compared the upper gastrointestinal ugi safety of arthrotec diclofenac sodium mg misoprostol microg g d searle co skokie illinois administered twice daily with that of nabumetone mg administered once daily in patients with symptomatic osteoarthritis oa of the hip or knee
12,all patients had a documented clinical history of endoscopically confirmed gastric pyloric channel or duodenal ulcer or or erosions in the stomach or duodenum
13,ugi endoscopy was performed at baseline and again at week or early withdrawal
14,treatment with arthrotec resulted in a significantly lower combined incidence of endoscopically confirmed gastric and duodenal ulcers compared with nabumetone vs and its rate of endoscopically confirmed ulceration was equivalent to that of placebo
15,the incidence of gastric ulcers alone was also significantly lower with arthrotec than with nabumetone vs
16,the incidence of duodenal ulcer with arthrotec was not significantly different from that with nabumetone vs
17,types of adverse events were similar for all treatment groups with gi adverse events predominating
18,arthrotec was well tolerated by the majority of patients
19,the results of this study demonstrate that arthrotec has a superior ugi safety profile causing significantly fewer ugi ulcers in comparison with nabumetone in patients with symptomatic oa and a documented history of ulcers or or erosions
20,this article examines the most recently published scientific literature on arthritis therapy options and available mucosal protective agents
21,emphasis is placed on the risks of current nonsteroidal anti inflammatory drug nsaid therapy the options for reducing such risks and the published information that either supports or refutes current thinking in these areas
22,a comprehensive evaluation is made of clinical data related to the use of arthrotec diclofenac misoprostol in the treatment of arthritis
23,a recent meta analysis of the prophylaxis of nsaid associated upper gastrointestinal complications is reviewed
24,the results of this meta analysis should help to consolidate much of the current scientific literature on the safe and effective treatment of arthritis
25,to identify the unbiased differences in the risk of hospitalization with peptic ulcer disease pud or gastrointestinal gi hemorrhage among populations using nonsteroidal antiinflammatory drugs nsaid nabumetone arthrotec diclofenac plus a cytoprotective agent dispensed separately diclo corx and naproxen
26,a population based historical cohort study using linked data from provincial healthcare databases
27,the population of the province of saskatchewan canada entitled to drug plan benefits in was eligible roughly of million people
28,participants were identified if they filled a prescription for one of the study nsaid individuals
29,they were then followed for months to determine outcomes
30,logistic regression was used to produce estimates of the risk of admission to hospital with a primary diagnosis of pud or gi hemorrhage associated with the study drugs unbiased by known confounders
31,compared to arthrotec the adjusted odds of hospitalization for pud for participants taking nabumetone was ci diclo corx ci and naproxen ci
32,compared to nabumetone the adjusted odds of hospitalization for pud for participants taking diclo corx was ci and naproxen ci
33,no significant differences were noted in terms of admissions for gi hemorrhage
34,participants taking nabumetone and arthrotec had significantly lower risk of hospitalization for pud than those taking the other study drugs
35,arthrotec was superior to nabumetone in a head to head comparison and especially when compared with the diclo corx and naproxen groups
36,no short term differences were seen in the rates of admission for gi hemorrhage
37,it appears that inherent gastroprotective strategies with arthrotec and to a lesser extent with nabumetone do translate into decreased serious gi side effects at the population level in the short term
38,arthrotec a combination tablet has been developed that contains mg of diclofenac in an inner core and micrograms of misoprostol in an outer mantle
39,both diclofenac and misoprostol are extensively absorbed and their maximum plasma concentrations but not total availability are diminished when taken with food
40,both drugs have elimination half lives of less than hours and do not accumulate in plasma after recommended doses
41,pharmacokinetic and bioavailability studies of the combination product taken separately and together reveal a high between and within subject variability in plasma diclofenac levels especially when the enteric coated tablets were given after food reliable values for peak plasma diclofenac concentration could not be ascertained
42,no pharmacokinetic interactions between diclofenac and misoprostol were apparent
43,the bioavailability of diclofenac and misoprostol from the combination tablet was similar to that seen when the two drugs are given separately
44,two double blind comparative studies were conducted to determine the upper gastrointestinal safety of arthrotec a combination of mg of diclofenac and micrograms of misoprostol versus mg of diclofenac
